roll_time,old_id,new_id,old_time,new_time,old_close,new_open,gap,ratio
2021-09-15 00:00:00+00:00,1030,8858,2021-09-14 23:59:00+00:00,2021-09-15 00:00:00+00:00,4451.0,4441.25,-9.75,0.9978094810155022
2021-12-15 00:00:00+00:00,8858,5782,2021-12-14 23:59:00+00:00,2021-12-15 00:00:00+00:00,4636.5,4627.25,-9.25,0.9980049606384126
2022-03-16 00:00:00+00:00,5782,3403,2022-03-15 23:59:00+00:00,2022-03-16 00:00:00+00:00,4256.75,4248.5,-8.25,0.9980619016855582
2022-06-15 00:00:00+00:00,3403,97042,2022-06-14 23:59:00+00:00,2022-06-15 00:00:00+00:00,3756.5,3759.75,3.25,1.0008651670437907
2022-09-14 00:00:00+00:00,97042,206323,2022-09-13 23:59:00+00:00,2022-09-14 00:00:00+00:00,3939.5,3958.5,19.0,1.0048229470745018
2022-12-14 00:00:00+00:00,206323,206299,2022-12-13 23:59:00+00:00,2022-12-14 00:00:00+00:00,4022.0,4055.5,33.5,1.0083291894579811
2023-03-15 00:00:00+00:00,206299,95414,2023-03-14 23:59:00+00:00,2023-03-15 00:00:00+00:00,3919.25,3952.25,33.0,1.008419978312177
2023-06-14 00:00:00+00:00,95414,3445,2023-06-13 23:59:00+00:00,2023-06-14 00:00:00+00:00,4371.75,4417.0,45.25,1.0103505461199749
2023-09-13 00:00:00+00:00,3445,314863,2023-09-12 23:59:00+00:00,2023-09-13 00:00:00+00:00,4465.25,4514.0,48.75,1.0109176417893735
2023-12-13 00:00:00+00:00,314863,17077,2023-12-12 23:59:00+00:00,2023-12-13 00:00:00+00:00,4652.0,4704.0,52.0,1.0111779879621667
2024-03-13 00:00:00+00:00,17077,5602,2024-03-12 23:59:00+00:00,2024-03-13 00:00:00+00:00,5179.5,5242.75,63.25,1.012211603436625
2024-06-19 00:00:00+00:00,5602,118,2024-06-18 23:59:00+00:00,2024-06-19 00:00:00+00:00,5495.5,5564.75,69.25,1.0126012191793285
2024-09-18 00:00:00+00:00,118,183748,2024-09-17 23:59:00+00:00,2024-09-18 00:00:00+00:00,5644.25,5705.75,61.5,1.0108960446472073
2024-12-18 00:00:00+00:00,183748,5002,2024-12-17 23:59:00+00:00,2024-12-18 00:00:00+00:00,6049.75,6123.75,74.0,1.012231910409521
2025-03-19 00:00:00+00:00,5002,4916,2025-03-18 23:59:00+00:00,2025-03-19 00:00:00+00:00,5621.25,5672.5,51.25,1.0091171892372692
2025-06-18 00:00:00+00:00,4916,14160,2025-06-17 23:59:00+00:00,2025-06-18 00:00:00+00:00,5971.0,6024.75,53.75,1.0090018422374811
2025-09-17 00:00:00+00:00,14160,294973,2025-09-16 23:59:00+00:00,2025-09-17 00:00:00+00:00,6615.25,6672.25,57.0,1.0086164544045955
2025-12-17 00:00:00+00:00,294973,42140878,2025-12-16 23:59:00+00:00,2025-12-17 00:00:00+00:00,6790.25,6845.25,55.0,1.0080998490482678
2026-03-18 00:00:00+00:00,42140878,42140864,2026-03-17 23:59:00+00:00,2026-03-18 00:00:00+00:00,6714.75,6766.25,51.5,1.0076696824155777
2026-06-17 00:00:00+00:00,42140864,42140870,2026-06-16 23:59:00+00:00,2026-06-17 00:00:00+00:00,7523.75,7592.0,68.25,1.009071274298056
